Time Courses Experiment for RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Experiment 1: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Experiment 1: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Experiment 1: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Experiment 1: ,,,,,,,,,,,, Experiment 1: ,,,,,,,,,
,,"PHO4-SA12346-GFP (+ mCherry cytoplasmaty)  cells  grown  in low Pi levels:  0.06mM, 0.2mM, and 0.5mM Pi (for 24.7 hours).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PHO4-SA1234-GFP (+ GFP cytoplasmaty) cells  grown  in low Pi levels:  0.06mM, 0.2mM, and 0.5mM Pi (for 24.7 hours).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"∆pho4 (with mCherry cytoplasmaty) cells  grown  in low Pi levels:  0.06mM, 0.2mM, and 0.5mM Pi (for 24.7 hours).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO84c cells  grown  in low Pi levels:   0.2mM (for 24.7 hours).,,,,,,,,,,,,PHO84c + PHO4-SA1234 cells  grown  in low Pi levels:   0.2mM (for 24.7 hours).,,,,,,,,,
,,"Shown is the log2 expression normalised to the WT initial time point (t=0,7.3mM Pi of Experiment 1)  before transfer to low Pi levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shown is the log2 expression normalised to the WT initial time point (t=0,7.3mM Pi of Experiment 1)  before transfer to low Pi levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shown is the log2 expression normalised to the WT initial time point (t=0,7.3mM Pi of Experiment 1)  before transfer to low Pi levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shown is the log2 expression normalised to the WT initial time point (t=0,7.3mM Pi of Experiment 1)  before transfer to low Pi levels.",,,,,,,,,,,,"Shown is the log2 expression normalised to the WT initial time point (t=0,7.3mM Pi of Experiment 1)  before transfer to low Pi levels.",,,,,,,,,
PHO Genes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO Genes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO Genes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO Genes:,,,,,,,,,,,,PHO Genes:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data for figure 3C:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for S3A Fig:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for S3A Fig:,,,,,,,,,Data for S3B Fig:,,,,,,,,,Data for S3C Fig:,,,,,,,,,,,,,Data for  S5B Fig:,,,,,,,,,,,,Data for  S5B Fig:,,,,,,,,,
,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.06mM Pi,,,,,,,,7.3mM,0.2mM Pi,,,,,,,,7.3mM,0.5mM Pi,,,,,,,,,,,Pi:,7.3mM,0.2mM Pi,,,,,,,,,,Pi:,7.3mM,0.2mM Pi,,,,,,,,
,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,0,1,2,3.5,5,6.5,8,9.5,24.67,,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,,,Time (h),0,1,2,3.5,5,6.5,8,9.5,24.67,
,SPL2,2.94935448,2.493063618,2.607911607,2.495223583,2.909857853,2.965951881,2.913221784,2.894222355,3.405607925,2.94935448,2.645248498,2.319996192,2.468006866,2.511977504,2.634609172,2.711194538,2.667354056,2.960174723,2.94935448,2.353691969,2.534289069,2.413986572,2.475922725,2.759660861,2.562348836,2.817209385,3.150786364,,,,SPL2,2.05452936,2.12249301,1.946856497,1.891206777,1.95520893,2.996319354,2.497376898,2.288680002,2.598502321,2.05452936,1.750621122,1.644136615,1.860615823,1.893284738,1.806784227,1.880442601,2.290093539,2.364752792,2.05452936,1.517139459,1.458536138,1.655393417,1.946890261,2.194268152,1.765854926,1.591044396,3.310138586,,,,SPL2,-2.083815252,-0.531724093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.083815252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.934304329,-2.083815252,NaN,NaN,NaN,-3.031061904,NaN,NaN,-2.910956133,-2.388740258,,,,SPL2,-0.585495573,0.2302307,0.206342568,0.560947745,0.491635524,0.963117634,2.45978071,1.541651717,2.09732897,,,SPL2,0.485683131,1.283614387,0.60015381,0.715899795,0.811439701,0.449469809,0.510467295,2.196632343,-0.167039994,
,PHO8,2.157397599,1.951041618,1.645366568,1.522567229,1.998602043,2.179533183,2.376581395,3.000888453,5.014425085,2.157397599,2.00571997,1.801057805,1.893112073,1.781932503,1.954389878,2.060061539,2.421669917,3.359135256,2.157397599,1.645719757,1.585666406,1.837167269,1.675213369,1.590468513,1.568251957,2.088053291,2.563135227,,,,PHO8,1.694946733,0.906946766,1.217021328,1.430685076,1.262241143,2.732194865,2.857132215,3.141300478,4.272209012,1.694946733,1.244393787,1.165840212,1.813181887,1.578487067,1.211896987,1.396269632,2.48312293,2.931205896,1.694946733,1.683690448,1.170923297,1.592134514,1.283561965,1.595712597,1.068918237,1.335140415,3.080706816,,,,PHO8,0.44164048,0.403055487,0.432766723,0.202228053,-1.159149213,-0.270974675,-0.246609481,0.175597591,0.550571762,0.44164048,0.021842774,0.490669241,-0.278645478,-0.074289835,0.311195534,-0.373641389,0.043561061,0.868685379,0.44164048,-0.261387383,-0.221625789,-0.147157855,-0.643109696,-0.283332837,0.04368674,0.962422903,0.262246356,,,,PHO8,0.343025017,0.55928922,0.882420163,0.129472199,0.462502405,0.983338058,2.084099374,2.58258485,1.604622125,,,PHO8,0.697558111,0.698591917,0.386070004,0.701003914,0.082283606,0.384249389,0.450960527,1.677693956,0.89898412,
